"hitNum","originalMatrix","filenameTrial1","levelTrial1","stimSingularTrial1","stimPluralTrial1","targetReferentTrial1","distractorReferentTrial1","otherReferentTrial1","targetFeatureTrial1","check1NameTrial1","check1CountTrial1","check2NameTrial1","check2CountTrial1","check3NameTrial1","check3CountTrial1","permutedMatrix1","filenameTrial2","levelTrial2","stimSingularTrial2","stimPluralTrial2","targetReferentTrial2","distractorReferentTrial2","otherReferentTrial2","targetFeatureTrial2","check1NameTrial2","check1CountTrial2","check2NameTrial2","check2CountTrial2","check3NameTrial2","check3CountTrial2","permutedMatrix2","filenameTrial3","levelTrial3","stimSingularTrial3","stimPluralTrial3","targetReferentTrial3","distractorReferentTrial3","otherReferentTrial3","targetFeatureTrial3","check1NameTrial3","check1CountTrial3","check2NameTrial3","check2CountTrial3","check3NameTrial3","check3CountTrial3","permutedMatrix3"
1,"001011110","E1S_targ-stims/S1-trial1.jpg",2,"face","faces",1,3,2,"glasses","a hat",2,"glasses",2,"a mustache",1,"110101001","E1S_targ-stims/S1-trial2.jpg",0,"sundae","sundaes",2,1,3,"cherry","a cherry",1,"whipped cream",2,"chocolate sauce",2,"010011101","E1S_targ-stims/S1-trial3.jpg",1,"snowman","snowmen",3,2,1,"beanie","a beanie",2,"a scarf",2,"gloves",1,"011110100"
2,"001011110","E1S_targ-stims/S2-trial1.jpg",1,"snowman","snowmen",2,1,3,"beanie","a beanie",2,"a scarf",2,"gloves",1,"110101001","E1S_targ-stims/S2-trial2.jpg",0,"sundae","sundaes",1,2,3,"chocolate","a cherry",2,"whipped cream",2,"chocolate sauce",1,"101011100","E1S_targ-stims/S2-trial3.jpg",2,"face","faces",3,1,2,"mustache","a hat",1,"glasses",2,"a mustache",2,"100011101"
3,"001011110","E1S_targ-stims/S3-trial1.jpg",0,"face","faces",1,3,2,"mustache","a hat",2,"glasses",2,"a mustache",1,"110011100","E1S_targ-stims/S3-trial2.jpg",2,"sundae","sundaes",1,2,3,"cherry","a cherry",2,"whipped cream",1,"chocolate sauce",2,"110010101","E1S_targ-stims/S3-trial3.jpg",1,"snowman","snowmen",2,3,1,"scarf","a beanie",2,"a scarf",2,"gloves",1,"101011100"
4,"001011110","E1S_targ-stims/S4-trial1.jpg",0,"sundae","sundaes",3,1,2,"cherry","a cherry",1,"whipped cream",2,"chocolate sauce",2,"001110011","E1S_targ-stims/S4-trial2.jpg",2,"snowman","snowmen",2,3,1,"scarf","a beanie",2,"a scarf",2,"gloves",1,"110011001","E1S_targ-stims/S4-trial3.jpg",1,"face","faces",1,2,3,"hat","a hat",2,"glasses",2,"a mustache",1,"110011001"
5,"001011110","E1S_targ-stims/S5-trial1.jpg",1,"face","faces",3,2,1,"mustache","a hat",1,"glasses",2,"a mustache",2,"100110011","E1S_targ-stims/S5-trial2.jpg",2,"sundae","sundaes",2,1,3,"whipped cream","a cherry",1,"whipped cream",2,"chocolate sauce",2,"100110011","E1S_targ-stims/S5-trial3.jpg",0,"snowman","snowmen",2,3,1,"beanie","a beanie",1,"a scarf",2,"gloves",2,"010110101"
6,"001011110","E1S_targ-stims/S6-trial1.jpg",1,"face","faces",2,1,3,"hat","a hat",2,"glasses",2,"a mustache",1,"110101001","E1S_targ-stims/S6-trial2.jpg",0,"snowman","snowmen",3,1,2,"gloves","a beanie",2,"a scarf",2,"gloves",1,"011110001","E1S_targ-stims/S6-trial3.jpg",2,"sundae","sundaes",1,2,3,"whipped cream","a cherry",2,"whipped cream",2,"chocolate sauce",1,"101110010"
7,"001011110","E1S_targ-stims/S7-trial1.jpg",0,"sundae","sundaes",3,1,2,"whipped cream","a cherry",2,"whipped cream",1,"chocolate sauce",2,"011001110","E1S_targ-stims/S7-trial2.jpg",2,"snowman","snowmen",3,2,1,"scarf","a beanie",1,"a scarf",2,"gloves",2,"010011101","E1S_targ-stims/S7-trial3.jpg",1,"face","faces",2,1,3,"glasses","a hat",1,"glasses",2,"a mustache",2,"001110101"
8,"001011110","E1S_targ-stims/S8-trial1.jpg",0,"face","faces",3,2,1,"hat","a hat",1,"glasses",2,"a mustache",2,"001110101","E1S_targ-stims/S8-trial2.jpg",2,"snowman","snowmen",3,1,2,"gloves","a beanie",1,"a scarf",2,"gloves",2,"100011101","E1S_targ-stims/S8-trial3.jpg",1,"sundae","sundaes",1,3,2,"whipped cream","a cherry",2,"whipped cream",2,"chocolate sauce",1,"011101010"
9,"001011110","E1S_targ-stims/S9-trial1.jpg",0,"sundae","sundaes",2,3,1,"cherry","a cherry",1,"whipped cream",2,"chocolate sauce",2,"010101110","E1S_targ-stims/S9-trial2.jpg",2,"snowman","snowmen",3,2,1,"scarf","a beanie",1,"a scarf",2,"gloves",2,"010011101","E1S_targ-stims/S9-trial3.jpg",1,"face","faces",3,2,1,"hat","a hat",2,"glasses",2,"a mustache",1,"011110100"
10,"001011110","E1S_targ-stims/S10-trial1.jpg",1,"face","faces",1,3,2,"mustache","a hat",2,"glasses",1,"a mustache",2,"011010101","E1S_targ-stims/S10-trial2.jpg",0,"snowman","snowmen",3,2,1,"beanie","a beanie",1,"a scarf",2,"gloves",2,"001101110","E1S_targ-stims/S10-trial3.jpg",2,"sundae","sundaes",2,1,3,"cherry","a cherry",2,"whipped cream",2,"chocolate sauce",1,"110011100"
